,מק'ט,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-01-01 00:00:00
0,001020,-681.0,-681.0,-681.0,-681.0,-681.0,-681.0,-681.0,-681.0,-681.0,-681.0,-681.0,-681.0,-681.0
1,001021,-1511.0,-1511.0,-1511.0,-1511.0,-1511.0,-1511.0,-1511.0,-1511.0,-1511.0,-1511.0,-1511.0,-1511.0,-1511.0
2,001022,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0
3,001026,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,001027,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
5,001028,-880.0,-880.0,-880.0,-880.0,-880.0,-880.0,-880.0,-880.0,-880.0,-880.0,-880.0,-880.0,-880.0
6,01,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0
7,0123,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,01234,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,0242135533,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
10,05424,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0
11,05P1870,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
12,0608614331291,-846.0,-846.0,-846.0,-846.0,-846.0,-846.0,-846.0,-846.0,-846.0,-846.0,-846.0,-846.0,-846.0
13,0608614331307,-420.0,-420.0,-420.0,-420.0,-420.0,-420.0,-420.0,-262.0,-262.0,-262.0,-262.0,-262.0,-262.0
14,0608614331314,-1157.0,-1249.0,-1249.0,-1249.0,-1249.0,-1249.0,-1249.0,-1157.0,-1157.0,-1204.0,-1204.0,-1204.0,-1204.0
15,0608614331321,-2861.0,-2937.0,-2937.0,-2937.0,-2937.0,-2937.0,-2937.0,-2771.0,-2771.0,-2819.0,-2819.0,-2819.0,-2819.0
16,0608614331338,-1109.0,-1249.0,-1249.0,-1249.0,-1249.0,-1249.0,-1249.0,-273.0,-273.0,-273.0,-273.0,-273.0,-273.0
17,0608614331345,-364.0,-364.0,-364.0,-364.0,-364.0,-364.0,-364.0,-364.0,-364.0,-364.0,-364.0,-364.0,-364.0
18,0608614331352,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0
19,0608614331369,-184.0,-184.0,-184.0,-184.0,-184.0,-184.0,-184.0,-184.0,-184.0,-184.0,-184.0,-184.0,-184.0
20,06200214,-2.0,-2.0,-2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0
21,08A14710,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
22,08A72510,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
23,08C17210,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
24,09531514,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
25,09567424,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
26,09863310,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
27,09A13020,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
28,09A33410,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
29,09A42710,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
30,09A96814,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
31,10.3266,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
32,10020404LUCAS,3.0,3.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33,10020406LUCAS,15.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,7.0,7.0,6.0,2.0
34,10020444KOR,80.0,45.0,30.0,23.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
35,10020500LUCAS,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
36,10020502LUCAS,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
37,10020505KOR,9.0,,,,,,,,,,,,
38,10030302LUCAS,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
39,10040302LUCAS,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
40,10090304LUCAS,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
41,10103901ORG,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,10.0,9.0,9.0,7.0,7.0
42,10140302LUCAS,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,5.0,5.0
43,10200102LUCAS,16.0,16.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
44,10200402LUCAS,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
45,10260526KOR,23.0,,,,4.0,3.0,3.0,,,,,,
46,10310502LUCAS,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
47,10310505KOR,14.0,,,,,,,,,,,,
48,10310602LUCAS,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0
49,10310604LUCAS,9.0,9.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
50,10310904LUCAS,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
51,10310906LUCAS,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
52,10310908LUCAS,27.0,27.0,27.0,27.0,32.0,18.0,18.0,,,,,,
53,10310910LUCAS,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,18.0,18.0,18.0,18.0,17.0
54,10310931KOR,30.0,,,,,,,,,,,,
55,10320802LUCAS,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,18.0,18.0,18.0
56,10320902LUCAS,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,6.0,5.0,5.0
57,103427IKO,-17.0,-17.0,-17.0,-17.0,-17.0,-17.0,-17.0,-17.0,-17.0,-17.0,-17.0,-17.0,-17.0
58,10350302LUCAS,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
59,10370302LUCAS,8.0,8.0,6.0,6.0,6.0,2.0,2.0,,,,,,
60,10370304LUCAS,11.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0
61,10370909KOR,6.0,6.0,5.0,,,3.0,3.0,3.0,3.0,,,,
62,10370910FACET,9.0,9.0,,,,,,,,,,,
63,10370990KOR,7.0,7.0,7.0,3.0,,,,,,,,,
64,10371202LUCAS,27.0,27.0,27.0,27.0,27.0,27.0,27.0,25.0,25.0,25.0,25.0,25.0,25.0
65,10371402LUCAS,14.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
66,10371404LUCAS,10.0,10.0,10.0,6.0,3.0,3.0,,,,,,,
67,10371515FACET,6.0,6.0,6.0,,6.0,6.0,1.0,1.0,1.0,1.0,,,
