מק'ט,תאור מוצר,מספר יצרן,סטטוס,מלאי זמין,הזמנות מסגרת רכש,הזמנות רכש פתוחות,הזמנות מסגרת לקוח,הז. לקוח פתוחות,קריאות שירות פתוחות,מלאי צפוי,נמכר בחודש נוכחי,סטטוס קצב מכירות,מק'ט מוצר משלים,מוצר משלים,נמכר בחודש הקודם,נמכר לפני חודשיים,נמכר לפני 3 חודשים,יח',מחיר אחרון,מטבע
32021200LPR,חיישן לרפידה קדמי אאודי Q7 06-16 אורך 420,KS0004,פעיל,0.000,0.000,0.000,0.000,3.000,0.000,-3.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32120100LPR,חיישן לרפידה קדמי + אחורי איווקו דיילי 130-L 14-06,KS0182,פעיל,10.000,0.000,0.000,0.000,5.000,0.000,5.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32140230LPR,חיישן לרפידה אחורי ב.מ.וו X5 מ11 / X6 מ14 אורך 1020,KS0227,פעיל,3.000,0.000,0.000,0.000,4.000,0.000,-1.00,3.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32140432LPR,חיישן לרפידה קדמי ב.מ.וו סד 3 מ 98-04 E46,KS0022,פעיל,9.000,0.000,0.000,0.000,5.000,0.000,4.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32140434LPR,חיישן לרפידה אחורי ב.מ.וו סד 3 98-04 E46,KS0021,פעיל,7.000,0.000,0.000,0.000,5.000,0.000,2.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32140436LPR,חיישן לרפידה קדמי ב.מ.וו סד 3 05-10 E90 \סד 1 מ 07,KS0007,פעיל,6.000,0.000,0.000,0.000,4.000,0.000,2.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32140440LPR,חיישן לרפידה אחורי ב.מ.וו סד 3 05-10 E90 / סד 1 מ 05,KS0156,פעיל,10.000,0.000,0.000,0.000,7.000,0.000,3.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32140442LPR,חיישן לרפידה קדמי BMW סדרה 30-F 12+ 3 / סדרה 1 12+,KS0177,פעיל,0.000,0.000,0.000,0.000,6.000,0.000,-6.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32140444LPR,חיישן לרפידה אחורי ב.מ.וו סד 3 מ 12/סד 1 F20 מ 12/ סד 2 מ12,KS0178,פעיל,3.000,0.000,0.000,0.000,6.000,0.000,-3.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32140446LPR,חיישן לרפידה קדמי BMW סדרה 3 11+ / סדרה 1 10+,KS0153,פעיל,8.000,0.000,0.000,0.000,3.000,0.000,5.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
