משפחה,תאור משפחה,שעות עבודה,מק'ט,תאור מוצר
0,משפחת מוצר כללית,,000,ארגז כלים 7 מגירות מושלם
0,משפחת מוצר כללית,,001017,"מגב ""17"
0,משפחת מוצר כללית,,001020,"מגב ""20"
0,משפחת מוצר כללית,,001021,"מגב ""21"
0,משפחת מוצר כללית,,001022,"מגב ""22"
0,משפחת מוצר כללית,,001026,"מגב ""26"
0,משפחת מוצר כללית,,001027,"מגב ""27"
0,משפחת מוצר כללית,,001028,"מגב ""28"
0,משפחת מוצר כללית,,0011,עלות יבשתית
0,משפחת מוצר כללית,,001122,הובלה יבשתית
0,משפחת מוצר כללית,,010050,חייב לצאת היום !!!
0,משפחת מוצר כללית,,0101050,לתת ללקוח ללא חשבון !!!!!
0,משפחת מוצר כללית,,010506,גומיה לציריה BT-2016
0,משפחת מוצר כללית,,010508,גומיה לציריה BT-239
0,משפחת מוצר כללית,,0113,מגבר בלם מחדש שונים
0,משפחת מוצר כללית,,0119,משחרר לחץ מח שונים
0,משפחת מוצר כללית,,0122,משאבת בלם מחדש שונים
0,משפחת מוצר כללית,,0123,עלות סחורה
0,משפחת מוצר כללית,,01234,עמילות
0,משפחת מוצר כללית,,0125,מש מצמד עליונה שונים
0,משפחת מוצר כללית,,0128,מש מצמד תחתונה שונים
0,משפחת מוצר כללית,,0131,קליפר מחדש שונים
0,משפחת מוצר כללית,,0134,משאבת אופן מחדש שונים
0,משפחת מוצר כללית,,0137,מכירות עצר שונים
0,משפחת מוצר כללית,,01961985,מגבר בלם מח בונוביל // לומינה להקרוס
0,משפחת מוצר כללית,,020202,בנוסף לחן קודם
0,משפחת מוצר כללית,,020203,לעדכן אותי חוסרים !!!
0,משפחת מוצר כללית,,020205,לתפוס קו ראשון !!!
0,משפחת מוצר כללית,,02669 KORPARTS,מתג הצתה פביה/אוקטביה/גולף 99+/פולו/איביזה/T5/A3/A4
0,משפחת מוצר כללית,,04941430,הגה מחודש רנו מגאן 16+ / ג. קופה
0,משפחת מוצר כללית,,049704,חידוש תפוח שונים
0,משפחת מוצר כללית,,049785,חידוש מוט הגה שונים
0,משפחת מוצר כללית,,049810,הגה ישן חשמלי
0,משפחת מוצר כללית,,049919,הגה מח שונים
0,משפחת מוצר כללית,,0510,הגה כח מחד שונים
0,משפחת מוצר כללית,,0531,גומיה להגה
0,משפחת מוצר כללית,,0588,גוף מסרק הגה - ישן
0,משפחת מוצר כללית,,060625,נעלי בלם שונים
0,משפחת מוצר כללית,,0610,ציריה מחודשת שונים
0,משפחת מוצר כללית,,0631,החלפת גומיה לציריה מחיר נטו!!
0,משפחת מוצר כללית,,0634,החלפת גומיה לציריה מחיר נטו!!
0,משפחת מוצר כללית,,06371645,ציריה מח טויוטה קאמרי נפח 3.5
0,משפחת מוצר כללית,,0655,ציריה ישנה לרכב אירופאי
0,משפחת מוצר כללית,,066264,ציריה ישנה לרכב סובארו
0,משפחת מוצר כללית,,0667,ציריה ישנה לרכב יפני
0,משפחת מוצר כללית,,0670,ציריה ישנה לרכב אמריקאי
0,משפחת מוצר כללית,,08990005,משאבת הגה כוח שונים
0,משפחת מוצר כללית,,1,264101
0,משפחת מוצר כללית,,110099,פריט מקניה מקומית
0,משפחת מוצר כללית,,115107 KORPARTS,מגן בולם קד ספרינטר 06+/קראפטר 06+
0,משפחת מוצר כללית,,119999,זיכוי / חיוב כספי
0,משפחת מוצר כללית,,120001,"קניות מקומיות משאבות בלם ,מגבר בלם וקליפר"
0,משפחת מוצר כללית,,120004,קניות מקומיות הגה ותיבת הגה מחודש
0,משפחת מוצר כללית,,120005,קניות מקומיות הגאי כח הידראוליים מחודש
0,משפחת מוצר כללית,,120006,קניות מקומיות ציריה מחודשות
0,משפחת מוצר כללית,,120007,קניות מקומיות עבודות בלמים
0,משפחת מוצר כללית,,120008,קניות מקומיות משאבות הגה כח מחודשות
0,משפחת מוצר כללית,,120026,קניות מקומיות מיסבי לחץ
0,משפחת מוצר כללית,,120035,קניות מקומיות דיסקיות
0,משפחת מוצר כללית,,120036,קניות מקומיות נעלי בלם
0,משפחת מוצר כללית,,120039,קניות מקומיות גלי הינע
0,משפחת מוצר כללית,,120040,קניות מקומיות דרמים
