,תאריך ההזמנה,מתאריך,עד תאריך,תאריך אספקה,ת. סיום מתוכנן,ת. מבוקש,מספר לקוח,שם לקוח,מספר הזמנה,סטטוס הזמנה,סגורה חלקית,ספק מועדף,שם ספק מועדף,מק'ט,תאור מוצר,מק'ט לקוח,תיאור מק'ט לקוח,עלות (שורת הזמנה),לביצוע ע'י,מס' סוכן,שם סוכן,עמלת סוכן (%),הז. פנקס,כמות,רווח (שח),סכום (שח),עמלת סוכן ראשון,כמות ביח' מפעל,שווי יתרה,שווי יתרה (שח),יתרה לאספקה
0,01/01/2024,,,01/01/2024,,01/01/2024,200011,"נע חלקי חילוף בע""מ",SO24000110,שולמה,Y,255047.0,GSP,46370785GSP,ציריה היילוקס 96-05 4X4,,,187.82,API,3,ישראל בנינפלד,3.0,,1,106.58,303.54,9.11,1,0.0,0.0,0
1,01/01/2024,,,01/01/2024,,01/01/2024,200011,"נע חלקי חילוף בע""מ",SO24000110,שולמה,Y,260901.0,ספקים שונים,99760066,דמי משלוח חבילה,,,5.0,API,3,ישראל בנינפלד,3.0,,1,-0.15,5.0,0.15,1,0.0,0.0,0
2,01/01/2024,,,01/01/2024,,01/01/2024,200011,"נע חלקי חילוף בע""מ",SO24000186,טיוטא,,255047.0,GSP,47580181GSP,קארדן אוקטביה 05-09/גולף 04-09/קאדי דיזל אוטומט,,,78.88,ilanc,3,ישראל בנינפלד,3.0,,1,46.74,129.2,3.88,1,129.2,129.2,1
3,01/01/2024,,,01/01/2024,,01/01/2024,200011,"נע חלקי חילוף בע""מ",SO24000186,טיוטא,,260901.0,ספקים שונים,99760066,דמי משלוח חבילה,,,5.0,ilanc,3,ישראל בנינפלד,3.0,,1,-0.15,4.98,0.15,1,4.99,4.98,1
4,01/01/2024,,,01/01/2024,,01/01/2024,200015,חלקי חילוף הכפר אבטיין,SO24000046,טיוטא,,255047.0,GSP,46620650GSP,ציריה סובארו אימפרזה 13+,,,146.57,idang,9,רם,3.0,,1,83.32,236.88,7.11,1,236.88,236.88,1
5,01/01/2024,,,01/01/2024,,01/01/2024,200015,חלקי חילוף הכפר אבטיין,SO24000046,טיוטא,,260901.0,ספקים שונים,99760066,דמי משלוח חבילה,,,5.0,idang,9,רם,3.0,,1,-0.15,4.99,0.15,1,5.0,4.99,1
6,01/01/2024,,,01/01/2024,,01/01/2024,200017,"אריג השקעות ומסחר בע""מ",SO24000130,שולמה,Y,255083.0,TEKNOROT,70620606ER,מ.ה גרנד לאונה/אימפרזה עד 00/אימפרזה 01-02,,,13.91,ilanc,5,עזרא תמיר,3.0,,2,12.67,41.88,1.26,2,0.0,0.0,0
7,01/01/2024,,,01/01/2024,,01/01/2024,200017,"אריג השקעות ומסחר בע""מ",SO24000138,שולמה,Y,255001.0,FANGTIAN,35621243MATEC,ד.ב קד לגאסי עד 96,,,20.0,ilanc,5,עזרא תמיר,3.0,,1,13.47,34.42,1.03,1,0.0,0.0,0
8,01/01/2024,,,01/01/2024,,01/01/2024,200017,"אריג השקעות ומסחר בע""מ",SO24000138,שולמה,Y,255042.0,LONGKOU,41621283LONGKOU,צ.ב קד לגאסי DL 1.6 קוטר 242,,,22.38,ilanc,5,עזרא תמיר,3.0,,2,34.78,81.81,2.45,2,0.0,0.0,0
9,01/01/2024,,,01/01/2024,,01/01/2024,200019,"מרכז החלק מרעי בע""מ",SO24000040,טיוטא,,260901.0,ספקים שונים,99760066,דמי משלוח חבילה,,,5.0,idang,22,ישראל בליטי,3.0,,1,-0.15,5.13,0.15,1,5.13,5.13,1
