מס' ספק,תאריך ההזמנה,כמות,יתרה לאספקה,הזמנת רכש,מק'ט,תאור מוצר,סכום (שח),סטטוס הזמנה,סטטוס שורת הזמנת רכש
255001,20/08/2024,50,50,PO24000011,35310569MATEC,ד.ב אח' SX4 מ08 סיוויק 01-12 אקורד עד00 צלחת 260,589.28,סגורה,עומד לבוא
255001,20/08/2024,50,50,PO24000011,35370377MATEC,ד.ב אח אבנסיס 09+,655.57,סגורה,עומד לבוא
255001,20/08/2024,50,50,PO24000011,35371833MATEC,ד.ב קד ראב 4 07+/פריוס פלוס מ13/אוריס 14+ גג פנורמי,847.09,סגורה,עומד לבוא
255001,20/08/2024,50,50,PO24000011,35371886MATEC,ד.ב קדה מ-10לקסוס RX מ-09/טויוטה וונזה/ראב 4 מ- 15/לקסוס NX,917.06,סגורה,עומד לבוא
255001,20/08/2024,50,50,PO24000011,35491673MATEC,ד.ב קד פג'רו 00-06/גרנדיס/MPV עד 94/רודיאו,755.01,סגורה,עומד לבוא
255001,20/08/2024,50,50,PO24000011,35641305MATEC,ד.ב קד ג'מפי 08+/אקספרט 08+/פיאט סקודו 08+,911.54,סגורה,עומד לבוא
255001,20/08/2024,50,50,PO24000011,35681616MATEC,ד.ב קד קרוסאובר 13+/ויטרה 1.6 15+,766.06,סגורה,עומד לבוא
255001,20/08/2024,50,50,PO24000011,35780357MATEC,ד.ב אח 04 T5+,758.69,סגורה,עומד לבוא
255001,20/08/2024,50,50,PO24000012,35310569MATEC,ד.ב אח' SX4 מ08 סיוויק 01-12 אקורד עד00 צלחת 260,589.28,סגורה,עומד לבוא
255001,20/08/2024,50,50,PO24000012,35370377MATEC,ד.ב אח אבנסיס 09+,655.57,סגורה,עומד לבוא
255001,20/08/2024,50,50,PO24000012,35371833MATEC,ד.ב קד ראב 4 07+/פריוס פלוס מ13/אוריס 14+ גג פנורמי,847.09,סגורה,עומד לבוא
255001,20/08/2024,50,50,PO24000012,35371886MATEC,ד.ב קדה מ-10לקסוס RX מ-09/טויוטה וונזה/ראב 4 מ- 15/לקסוס NX,917.06,סגורה,עומד לבוא
255001,20/08/2024,50,50,PO24000012,35491673MATEC,ד.ב קד פג'רו 00-06/גרנדיס/MPV עד 94/רודיאו,755.01,סגורה,עומד לבוא
255001,20/08/2024,50,50,PO24000012,35641305MATEC,ד.ב קד ג'מפי 08+/אקספרט 08+/פיאט סקודו 08+,911.54,סגורה,עומד לבוא
255001,20/08/2024,50,50,PO24000012,35681616MATEC,ד.ב קד קרוסאובר 13+/ויטרה 1.6 15+,766.06,סגורה,עומד לבוא
255001,20/08/2024,50,50,PO24000012,35780357MATEC,ד.ב אח 04 T5+,758.69,סגורה,עומד לבוא
255001,20/08/2024,60,60,PO24000011,35392259MATEC,ד.ב קד סנטה פה 07+/סורנטו 10+/קורנדו D 2.0,1076.17,סגורה,עומד לבוא
255001,20/08/2024,60,60,PO24000012,35392259MATEC,ד.ב קד סנטה פה 07+/סורנטו 10+/קורנדו D 2.0,1076.17,סגורה,עומד לבוא
255001,20/08/2024,70,70,PO24000011,35490305MATEC,ד.ב אח אאוטלנדר מ-17/אקליפס קרוס /אלטימה 21(עם בלם יד חשמלי,776.00,סגורה,עומד לבוא
255001,20/08/2024,70,70,PO24000011,35580171MATEC,ד.ב אח אוקטביה 10+/יטי 10+/סופרב 09+/ג'טה 11+,941.00,סגורה,עומד לבוא
255001,20/08/2024,70,70,PO24000012,35490305MATEC,ד.ב אח אאוטלנדר מ-17/אקליפס קרוס /אלטימה 21(עם בלם יד חשמלי,776.00,סגורה,עומד לבוא
255001,20/08/2024,70,70,PO24000012,35580171MATEC,ד.ב אח אוקטביה 10+/יטי 10+/סופרב 09+/ג'טה 11+,941.00,סגורה,עומד לבוא
255001,20/08/2024,80,80,PO24000011,35371507MATEC,ד.ב אח קורולה 08+/פריוס 09+,942.84,סגורה,עומד לבוא
255001,20/08/2024,80,80,PO24000011,35491041MATEC,ד.ב קד לנסר 04+/גלנט 99+/דודג' אבנג'ר/קליבר/פטריוט,1275.79,סגורה,עומד לבוא
255001,20/08/2024,80,80,PO24000012,35371507MATEC,ד.ב אח קורולה 08+/פריוס 09+,942.84,סגורה,עומד לבוא
255001,20/08/2024,80,80,PO24000012,35491041MATEC,ד.ב קד לנסר 04+/גלנט 99+/דודג' אבנג'ר/קליבר/פטריוט,1275.79,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000011,35260537MATEC,ד.ב קד סיריון 08+/בלנו 16+/מזדה 2/פיאסטה 09+/סוופיט 1.2 11+,1425.32,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000011,35370407MATEC,ד.ב אח קורולה 13+/אוריס 08+,1296.41,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000011,35371061MATEC,ד.ב קד לנדקרוזר 03+/ויגו 4X4/פג'רו 07+,1852.54,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000011,35371067MATEC,ד.ב אח לנדקרוזר עד 12/פג'רו 07+,1296.41,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000011,35371593MATEC,ד.ב קד קורולה 03-07,1510.03,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000011,35371595MATEC,ד.ב אח קורולה 03-07,1123.31,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000011,35391303MATEC,ד.ב אח אקסנט 10 IX35/I30/I20/+07+/ריו/סיד,1149.09,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000011,35450100MATEC,ד.ב קד 12 CX5+,1690.49,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000011,35451528MATEC,ד.ב אח מזדה 6 13-14/אאוטלנדר 13+,1171.19,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000011,35491665MATEC,ד.ב קד פג'רו עד 99/פג'רו ספורט/אאוטלנדר/ספייס וואגון,1602.10,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000011,35550809MATEC,ד.ב קד האנטר 07+/טריטון 15+,1690.49,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000011,35641291MATEC,ד.ב קד ברלינגו C4/+08 פיקאסו 07+/פרטנר 08+,1789.93,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000011,35780771MATEC,ד.ב אח גולף 05+/פאסאט 05+/ג'טה 06+/טוראן/קאדי 04+,1303.78,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000011,35781383MATEC,ד.ב קד פאסאט 12+/אוקטביה 14+/גולף 14+/קודיאק גדול,2434.46,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000011,35820288MATEC,ד.ב קד אדג 08+/אאוטלנדר 18+/טריטון 20+,1635.25,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000011,35901327MATEC,ד.ב קד פיקנטו 17+,1480.56,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000011,35901359MATEC,ד.ב קד פיקנטו 11+,1429.00,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000011,35901862MATEC,ד.ב קד טוסון 15+/קונה 20+/אופטימה 16+/ספורטאג' 15+/עם חורים,1642.61,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000011,35941439MATEC,ד.ב אח פלואנס/מגאן 16+/ג'וק 20+/סניק 09+/בלם יד חשמלי,1185.92,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000012,35260537MATEC,ד.ב קד סיריון 08+/בלנו 16+/מזדה 2/פיאסטה 09+/סוופיט 1.2 11+,1425.32,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000012,35370407MATEC,ד.ב אח קורולה 13+/אוריס 08+,1296.41,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000012,35371061MATEC,ד.ב קד לנדקרוזר 03+/ויגו 4X4/פג'רו 07+,1852.54,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000012,35371067MATEC,ד.ב אח לנדקרוזר עד 12/פג'רו 07+,1296.41,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000012,35371593MATEC,ד.ב קד קורולה 03-07,1510.03,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000012,35371595MATEC,ד.ב אח קורולה 03-07,1123.31,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000012,35391303MATEC,ד.ב אח אקסנט 10 IX35/I30/I20/+07+/ריו/סיד,1149.09,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000012,35450100MATEC,ד.ב קד 12 CX5+,1690.49,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000012,35491665MATEC,ד.ב קד פג'רו עד 99/פג'רו ספורט/אאוטלנדר/ספייס וואגון,1602.10,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000012,35550809MATEC,ד.ב קד האנטר 07+/טריטון 15+,1690.49,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000012,35641291MATEC,ד.ב קד ברלינגו C4/+08 פיקאסו 07+/פרטנר 08+,1789.93,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000012,35780771MATEC,ד.ב אח גולף 05+/פאסאט 05+/ג'טה 06+/טוראן/קאדי 04+,1303.78,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000012,35781383MATEC,ד.ב קד פאסאט 12+/אוקטביה 14+/גולף 14+/קודיאק גדול,2434.46,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000012,35820288MATEC,ד.ב קד אדג 08+/אאוטלנדר 18+/טריטון 20+,1635.25,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000012,35901327MATEC,ד.ב קד פיקנטו 17+,1480.56,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000012,35901359MATEC,ד.ב קד פיקנטו 11+,1429.00,סגורה,עומד לבוא
255001,20/08/2024,100,100,PO24000012,35901862MATEC,ד.ב קד טוסון 15+/קונה 20+/אופטימה 16+/ספורטאג' 15+/עם חורים,1642.61,סגורה,עומד לבוא
