,מס' לקוח,שם לקוח,מק'ט,תאור מוצר,תאור משפחה,שם ספק מועדף,מחיר ליחידה,הנחה (%),הנחה כללית (%),שם סוכן,עמלת סוכן (%),חשבונית,עלות (שח),עלות יצוא (שח),עלויות נוספות(שח),סה'כ עלויות (שח),סהכ חייב בעמלה שח,סכום בהזמנה (שח),כמות ביח' מפעל,כמות בהזמנה,יתרה בהזמנה,כמות בהזמנה-יח' מפעל,סכום כולל מע'מ מ.חש',% רווח ביחס למחיר,% רווח ביחס לעלות,רווח (שח),סכום (שח),כמות,כמות (ללא סיכום),% רווח לעלות + סיכום,% רווח למחיר + סיכום,סה'כ עמלת סוכן שח,תאריך,ת.אספקה בהזמנה
0,200002,".ארי חלקי חילוף ב""מ",48780771GSP,נאבה אח 4X4 05-11 A6/03-09 A8,נאבות,GSP,291.0,50.0,0.0,ישראל בליטי,3.0,IK24000865,-79.0,0.0,0.0,-79.0,-145.7,0.0,-1,0,0,0,-270.0,42.77,78.89,-62.32,-145.7,-1,-1,78.89,42.77,-4.37,2024-01-05,
1,200002,".ארי חלקי חילוף ב""מ",50370302GSP,תושבת מנוע שמאל אבנסיס 09+,תושבות מנוע,GSP,169.9,50.0,0.0,ישראל בליטי,3.0,IK24000865,-40.69,0.0,0.0,-40.69,-85.06,0.0,-1,0,0,0,-270.0,49.16,102.77,-41.81,-85.06,-1,-1,102.77,49.16,-2.55,2024-01-05,
2,200005,אל עבודי מוסך,35390973LPR,ד.ב קד קרניבל I800/+07,דיסקיות,LPR,163.0,55.0,0.0,רשות פלסטינית,3.0,SI246000437,53.06,0.0,0.0,53.06,73.35,366.73,1,5,4,5,10585.0,24.66,34.09,18.08,73.35,1,1,34.09,24.66,2.2,2024-08-10,07/10/2024
3,200005,אל עבודי מוסך,35480801LPR,ד.ב אח ספרינטר 5 טון 07+/קראפטר 5 טון 07+,דיסקיות,LPR,189.0,55.0,0.0,רשות פלסטינית,3.0,SI246000279,614.7,0.0,0.0,614.7,850.69,850.68,10,10,0,10,2007.0,24.74,34.23,210.46,850.69,10,10,34.23,24.74,25.52,2024-02-07,13/06/2024
4,200005,אל עבודי מוסך,35480897LPR,ד.ב קד ספרינטר 07+/קראפטר 07+ 5 טון,דיסקיות,LPR,191.0,55.0,0.0,רשות פלסטינית,3.0,SI246000279,622.2,0.0,0.0,622.2,859.69,859.69,10,10,0,10,2007.0,24.62,34.02,211.69,859.69,10,10,34.02,24.62,25.79,2024-02-07,13/06/2024
5,200005,אל עבודי מוסך,35490115LPR,ד.ב קד האנטר 07+/טריטון 15+,דיסקיות,LPR,139.0,55.0,0.0,רשות פלסטינית,3.0,SI246000112,226.25,0.0,0.0,226.25,312.75,312.68,5,5,0,5,6596.0,24.65,34.08,77.11,312.75,5,5,34.08,24.65,9.38,2024-03-26,20/03/2024
6,200005,אל עבודי מוסך,35490115LPR,ד.ב קד האנטר 07+/טריטון 15+,דיסקיות,LPR,139.0,55.0,0.0,רשות פלסטינית,3.0,SI246000162,452.5,0.0,0.0,452.5,625.58,625.55,10,10,0,10,1523.0,24.66,34.1,154.31,625.58,10,10,34.1,24.66,18.76,2024-04-21,21/04/2024
7,200005,אל עבודי מוסך,35550809MATEC,ד.ב קד האנטר 07+/טריטון 15+,דיסקיות,FANGTIAN,81.0,55.0,0.0,רשות פלסטינית,3.0,SI246000437,346.4,0.0,0.0,346.4,728.99,728.97,20,20,0,20,10585.0,49.48,104.13,360.72,728.99,20,20,104.13,49.48,21.86,2024-08-10,07/10/2024
8,200005,אל עבודי מוסך,35570259LPR,ד.ב אח מוסו 99+/רקסטון 97-06/אקטיון 07+,דיסקיות,LPR,92.0,50.0,0.0,דניאל שירזי,3.0,SI246000010,119.32,0.0,0.0,119.32,229.99,230.0,5,5,0,5,7387.0,45.11,86.96,103.77,229.99,5,5,86.96,45.11,6.89,2024-01-15,14/01/2024
9,200005,אל עבודי מוסך,35580108MATEC,ד.ב קד אוקטביה 13+/סופרב 15+/קארוק/גולף 13+/עם חריץ,דיסקיות,FANGTIAN,90.0,55.0,0.0,רשות פלסטינית,3.0,SI246000437,96.6,0.0,0.0,96.6,202.49,202.49,5,5,0,5,10585.0,49.29,103.32,99.81,202.49,5,5,103.32,49.29,6.07,2024-08-10,07/10/2024
10,200005,אל עבודי מוסך,35580167LPR,ד.ב קד אוקטביה עד 04/גולף 99+/בורה/A3/ג'טה,דיסקיות,LPR,106.0,55.0,0.0,רשות פלסטינית,3.0,SI246000382,124.88,0.0,0.0,124.88,190.79,238.5,4,5,1,5,2198.0,31.54,48.19,60.18,190.79,4,4,48.19,31.54,5.72,2024-02-09,25/08/2024
11,200005,אל עבודי מוסך,35580173LPR,ד.ב קד אוקטביה 13+/סופרב 15+/קארוק/גולף 13+/עם חריץ,דיסקיות,LPR,80.0,0.0,0.0,רשות פלסטינית,3.0,SI246000382,246.25,0.0,0.0,246.25,399.97,400.0,5,5,0,5,2198.0,35.43,57.55,141.72,399.97,5,5,57.55,35.43,11.99,2024-02-09,25/08/2024
12,200005,אל עבודי מוסך,35580173LPR,ד.ב קד אוקטביה 13+/סופרב 15+/קארוק/גולף 13+/עם חריץ,דיסקיות,LPR,201.0,50.0,0.0,רשות פלסטינית,3.0,SI246000112,98.51,0.0,0.0,98.51,200.99,301.49,2,3,1,3,6596.0,47.98,97.9,96.45,200.99,2,2,97.9,47.98,6.02,2024-03-26,17/03/2024
13,200005,אל עבודי מוסך,35780355LPR,ד.ב קד 04-09 T5,דיסקיות,LPR,78.0,0.0,0.0,דניאל שירזי,3.0,SI246000010,489.17,0.0,0.0,489.17,779.96,780.03,10,10,0,10,7387.0,34.28,54.66,267.39,779.96,10,10,54.66,34.28,23.39,2024-01-15,14/01/2024
14,200005,אל עבודי מוסך,35780355LPR,ד.ב קד 04-09 T5,דיסקיות,LPR,165.0,55.0,0.0,רשות פלסטינית,3.0,SI246000437,466.5,0.0,0.0,466.5,742.49,742.46,10,10,0,10,10585.0,34.17,54.38,253.71,742.49,10,10,54.38,34.17,22.27,2024-08-10,07/10/2024
15,200005,אל עבודי מוסך,35821223LPR,ד.ב קד פוקוס 06+/מזדה 3/מזדה 04 S40/5+,דיסקיות,LPR,127.0,50.0,0.0,רשות פלסטינית,3.0,SI246000112,227.0,0.0,0.0,227.0,380.99,380.99,6,6,0,6,6596.0,37.41,62.8,142.56,380.99,6,6,62.8,37.41,11.42,2024-03-26,17/03/2024
16,200005,אל עבודי מוסך,41391425LONGKOU,צ.ב קד גטס עם ABS קוטר 256,צלחות,LONGKOU,99.0,55.0,0.0,רשות פלסטינית,3.0,SI246000437,162.96,0.0,0.0,162.96,267.3,267.28,6,6,0,6,10585.0,36.03,59.1,96.32,267.3,6,6,59.1,36.03,8.01,2024-08-10,07/10/2024
17,200005,אל עבודי מוסך,41490802LPR,צ.ב קד האנטר 07+/האנטר 15+ קוטר 294,צלחות,LPR,255.0,55.0,0.0,רשות פלסטינית,3.0,SI246000112,800.94,0.0,0.0,800.94,1147.47,1147.27,10,10,0,10,6596.0,27.19,38.96,312.1,1147.47,10,10,38.96,27.19,34.42,2024-03-26,20/03/2024
18,200005,אל עבודי מוסך,41581110LPR,צ.ב אח גולף 13+/פאסאט 15+/קודיאק 17+ קוטר 300,צלחות,LPR,230.0,50.0,0.0,דניאל שירזי,3.0,SI246000010,101.72,0.0,0.0,101.72,229.99,230.0,2,2,0,2,7387.0,52.77,119.31,121.37,229.99,2,2,119.31,52.77,6.89,2024-01-15,14/01/2024
19,200005,אל עבודי מוסך,41641315LPR,צ.ב קד ג'מפי +16/פרואייס +18/ויוארו +19,צלחות,LPR,357.0,55.0,0.0,דניאל שירזי,3.0,SI246000010,225.02,0.0,0.0,225.02,321.28,321.31,2,2,0,2,7387.0,26.96,38.49,86.62,321.28,2,2,38.49,26.96,9.63,2024-01-15,14/01/2024
20,200005,אל עבודי מוסך,41780303LONGKOU,צ.ב קד T5 קוטר 308,צלחות,LONGKOU,184.0,52.0,0.0,דניאל שירזי,3.0,SI246000010,195.6,0.0,0.0,195.6,353.26,353.29,4,4,0,4,7387.0,41.63,75.18,147.06,353.26,4,4,75.18,41.63,10.59,2024-01-15,14/01/2024
21,200005,אל עבודי מוסך,41780303LONGKOU,צ.ב קד T5 קוטר 308,צלחות,LONGKOU,186.0,55.0,0.0,רשות פלסטינית,3.0,SI246000437,1021.4,0.0,0.0,1021.4,1673.97,1673.93,20,20,0,20,10585.0,35.98,58.97,602.35,1673.97,20,20,58.97,35.98,50.21,2024-08-10,07/10/2024
22,200005,אל עבודי מוסך,41780309LONGKOU,צ.ב אח T5 קוטר 294,צלחות,LONGKOU,127.0,52.0,0.0,דניאל שירזי,3.0,SI246000010,130.39,0.0,0.0,130.39,243.83,243.84,4,4,0,4,7387.0,43.52,81.39,106.12,243.83,4,4,81.39,43.52,7.31,2024-01-15,14/01/2024
