מס' ספק,שם ספק,חשבונית,סטטוס,משפחה,מק'ט,מספר פנימי,תאור מוצר,תאור משפחה,תאור סוג ספק,שורה בחשבונית,מחיר ליחידה,תאריך,סכום (שח),כמות
255034,FANGTIAN,FY20240219Z,סופית,35,35260537MATEC,GI24000861,ד.ב קד סיריון 08+/בלנו 16+/מזדה 2/פיאסטה 09+/סוופיט 1.2 11+,דיסקיות,"ספק חו""ל",1,3.87,17/09/2024,1434.60,100
255034,FANGTIAN,FY20240219Z,סופית,35,35310569MATEC,GI24000861,ד.ב אח' SX4 מ08 סיוויק 01-12 אקורד עד00 צלחת 260,דיסקיות,"ספק חו""ל",34,3.20,17/09/2024,593.12,50
255034,FANGTIAN,FY20240219Z,סופית,35,35370377MATEC,GI24000861,ד.ב אח אבנסיס 09+,דיסקיות,"ספק חו""ל",33,3.56,17/09/2024,659.84,50
255034,FANGTIAN,FY20240219Z,סופית,35,35370407MATEC,GI24000861,ד.ב אח קורולה 13+/אוריס 08+,דיסקיות,"ספק חו""ל",18,3.52,17/09/2024,1304.86,100
255034,FANGTIAN,FY20240219Z,סופית,35,35371061MATEC,GI24000861,ד.ב קד לנדקרוזר 03+/ויגו 4X4/פג'רו 07+,דיסקיות,"ספק חו""ל",13,5.03,17/09/2024,1864.62,100
255034,FANGTIAN,FY20240219Z,סופית,35,35371067MATEC,GI24000861,ד.ב אח לנדקרוזר עד 12/פג'רו 07+,דיסקיות,"ספק חו""ל",21,3.52,17/09/2024,1304.86,100
255034,FANGTIAN,FY20240219Z,סופית,35,35371505MATEC,GI24000861,ד.ב קד קורולה 08+/יאריס ורסו ספייס 11+,דיסקיות,"ספק חו""ל",11,4.44,17/09/2024,3291.81,200
255034,FANGTIAN,FY20240219Z,סופית,35,35371507MATEC,GI24000861,ד.ב אח קורולה 08+/פריוס 09+,דיסקיות,"ספק חו""ל",31,3.20,17/09/2024,948.99,80
255034,FANGTIAN,FY20240219Z,סופית,35,35371515MATEC,GI24000861,ד.ב קד קורולה 19+,דיסקיות,"ספק חו""ל",38,5.92,17/09/2024,4389.08,200
255034,FANGTIAN,FY20240219Z,סופית,35,35371593MATEC,GI24000861,ד.ב קד קורולה 03-07,דיסקיות,"ספק חו""ל",26,4.10,17/09/2024,1519.87,100
255034,FANGTIAN,FY20240219Z,סופית,35,35371595MATEC,GI24000861,ד.ב אח קורולה 03-07,דיסקיות,"ספק חו""ל",16,3.05,17/09/2024,1130.63,100
255034,FANGTIAN,FY20240219Z,סופית,35,35371598MATEC,GI24000861,ד.ב קד קורולה 13+,דיסקיות,"ספק חו""ל",35,4.87,17/09/2024,2707.96,150
255034,FANGTIAN,FY20240219Z,סופית,35,35371833MATEC,GI24000861,ד.ב קד ראב 4 07+/פריוס פלוס מ13/אוריס 14+ גג פנורמי,דיסקיות,"ספק חו""ל",17,4.60,17/09/2024,852.61,50
255034,FANGTIAN,FY20240219Z,סופית,35,35371886MATEC,GI24000861,ד.ב קדה מ-10לקסוס RX מ-09/טויוטה וונזה/ראב 4 מ- 15/לקסוס NX,דיסקיות,"ספק חו""ל",12,4.98,17/09/2024,923.04,50
255034,FANGTIAN,FY20240219Z,סופית,35,35390771MATEC,GI24000861,ד.ב קד I35/I25/וולוסטר/ריו 12 I30/+12+,דיסקיות,"ספק חו""ל",2,4.42,17/09/2024,3276.98,200
255034,FANGTIAN,FY20240219Z,סופית,35,35391303MATEC,GI24000861,ד.ב אח אקסנט 10 IX35/I30/I20/+07+/ריו/סיד,דיסקיות,"ספק חו""ל",36,3.12,17/09/2024,1156.58,100
255034,FANGTIAN,FY20240219Z,סופית,35,35391717MATEC,GI24000861,ד.ב קד טוסון 15+/קונה 20+/אופטימה 16+/ספורטאג' 15+/עם חורים,דיסקיות,"ספק חו""ל",8,4.46,17/09/2024,4959.96,300
255034,FANGTIAN,FY20240219Z,סופית,35,35391726MATEC,GI24000861,ד.ב אח טוסון מ15+/אקסנט IX35/+07/ספורטאג 11+ עם חורים,דיסקיות,"ספק חו""ל",42,3.19,17/09/2024,2365.06,200
255034,FANGTIAN,FY20240219Z,סופית,35,35392259MATEC,GI24000861,ד.ב קד סנטה פה 07+/סורנטו 10+/קורנדו D 2.0,דיסקיות,"ספק חו""ל",6,4.87,17/09/2024,1083.18,60
255034,FANGTIAN,FY20240219Z,סופית,35,35450100MATEC,GI24000861,ד.ב קד 12 CX5+,דיסקיות,"ספק חו""ל",7,4.59,17/09/2024,1701.51,100
255034,FANGTIAN,FY20240219Z,סופית,35,35451528MATEC,GI24000861,ד.ב אח מזדה 6 13-14/אאוטלנדר 13+,דיסקיות,"ספק חו""ל",43,3.18,17/09/2024,1178.82,100
255034,FANGTIAN,FY20240219Z,סופית,35,35490305MATEC,GI24000861,ד.ב אח אאוטלנדר מ-17/אקליפס קרוס /אלטימה 21(עם בלם יד חשמלי,דיסקיות,"ספק חו""ל",40,3.01,17/09/2024,781.06,70
255034,FANGTIAN,FY20240219Z,סופית,35,35491041MATEC,GI24000861,ד.ב קד לנסר 04+/גלנט 99+/דודג' אבנג'ר/קליבר/פטריוט,דיסקיות,"ספק חו""ל",5,4.33,17/09/2024,1284.10,80
255034,FANGTIAN,FY20240219Z,סופית,35,35491665MATEC,GI24000861,ד.ב קד פג'רו עד 99/פג'רו ספורט/אאוטלנדר/ספייס וואגון,דיסקיות,"ספק חו""ל",23,4.35,17/09/2024,1612.54,100
255034,FANGTIAN,FY20240219Z,סופית,35,35491673MATEC,GI24000861,ד.ב קד פג'רו 00-06/גרנדיס/MPV עד 94/רודיאו,דיסקיות,"ספק חו""ל",25,4.10,17/09/2024,759.93,50
255034,FANGTIAN,FY20240219Z,סופית,35,35550809MATEC,GI24000861,ד.ב קד האנטר 07+/טריטון 15+,דיסקיות,"ספק חו""ל",30,4.59,17/09/2024,1701.51,100
255034,FANGTIAN,FY20240219Z,סופית,35,35580106MATEC,GI24000861,ד.ב קד אוקטביה 13+/סופרב 15+/קארוק/גולף 13+/קרניים,דיסקיות,"ספק חו""ל",20,4.84,17/09/2024,2691.28,150
255034,FANGTIAN,FY20240219Z,סופית,35,35580108MATEC,GI24000861,ד.ב קד אוקטביה 13+/סופרב 15+/קארוק/גולף 13+/עם חריץ,דיסקיות,"ספק חו""ל",19,5.12,17/09/2024,2846.97,150
255034,FANGTIAN,FY20240219Z,סופית,35,35580171MATEC,GI24000861,ד.ב אח אוקטביה 10+/יטי 10+/סופרב 09+/ג'טה 11+,דיסקיות,"ספק חו""ל",4,3.65,17/09/2024,947.13,70
255034,FANGTIAN,FY20240219Z,סופית,35,35641291MATEC,GI24000861,ד.ב קד ברלינגו C4/+08 פיקאסו 07+/פרטנר 08+,דיסקיות,"ספק חו""ל",32,4.86,17/09/2024,1801.60,100
255034,FANGTIAN,FY20240219Z,סופית,35,35641305MATEC,GI24000861,ד.ב קד ג'מפי 08+/אקספרט 08+/פיאט סקודו 08+,דיסקיות,"ספק חו""ל",14,4.95,17/09/2024,917.48,50
255034,FANGTIAN,FY20240219Z,סופית,35,35681616MATEC,GI24000861,ד.ב קד קרוסאובר 13+/ויטרה 1.6 15+,דיסקיות,"ספק חו""ל",10,4.16,17/09/2024,771.05,50
255034,FANGTIAN,FY20240219Z,סופית,35,35780357MATEC,GI24000861,ד.ב אח 04 T5+,דיסקיות,"ספק חו""ל",28,4.12,17/09/2024,763.64,50
