,מספר לקוח,שם לקוח,מק'ט,תאור משפחת מוצר,מחיר ליחידה,הנחה כללית (%),שם סוכן,מוצר משלים,עלות (שח),עלות יצוא (שח),עלויות נוספות(שח),כמות (ללא סיכום),כמות,סכום (שח),כמות ביח' מפעל,עמלת סוכן (שח),רווח (שח),עמלת סוכן (%),עלות ליחידה (שח),תאריך
0,200002,".ארי חלקי חילוף ב""מ",48780771GSP,נאבות,291.0,0.0,ישראל בליטי,,-79.0,0.0,0.0,-1,-1,-145.7,-1,-4.37,-62.32,3.0,79.0,2024-01-05
1,200002,".ארי חלקי חילוף ב""מ",50370302GSP,תושבות מנוע,169.9,0.0,ישראל בליטי,,-40.69,0.0,0.0,-1,-1,-85.06,-1,-2.55,-41.81,3.0,40.69,2024-01-05
2,200005,אל עבודי מוסך,35390973LPR,דיסקיות,163.0,0.0,רשות פלסטינית,,53.06,0.0,0.0,1,1,73.35,1,2.2,18.08,3.0,53.06,2024-07-10
3,200005,אל עבודי מוסך,35480801LPR,דיסקיות,189.0,0.0,רשות פלסטינית,,614.7,0.0,0.0,10,10,850.5,10,25.51,210.28,3.0,61.47,2024-06-30
4,200005,אל עבודי מוסך,35480897LPR,דיסקיות,191.0,0.0,רשות פלסטינית,,622.2,0.0,0.0,10,10,859.5,10,25.78,211.51,3.0,62.22,2024-06-30
5,200005,אל עבודי מוסך,35490115LPR,דיסקיות,139.0,0.0,רשות פלסטינית,,226.25,0.0,0.0,5,5,312.75,5,9.38,77.11,3.0,45.25,2024-03-21
6,200005,אל עבודי מוסך,35490115LPR,דיסקיות,139.0,0.0,רשות פלסטינית,,452.5,0.0,0.0,10,10,625.5,10,18.76,154.23,3.0,45.25,2024-04-21
7,200005,אל עבודי מוסך,35550809MATEC,דיסקיות,81.0,0.0,רשות פלסטינית,,346.4,0.0,0.0,20,20,729.0,20,21.87,360.73,3.0,17.32,2024-07-10
8,200005,אל עבודי מוסך,35570259LPR,דיסקיות,92.0,0.0,דניאל שירזי,,119.32,0.0,0.0,5,5,230.0,5,6.9,103.78,3.0,23.86,2024-01-15
9,200005,אל עבודי מוסך,35580108MATEC,דיסקיות,90.0,0.0,רשות פלסטינית,,96.6,0.0,0.0,5,5,202.5,5,6.07,99.82,3.0,19.32,2024-07-10
10,200005,אל עבודי מוסך,35580167LPR,דיסקיות,106.0,0.0,רשות פלסטינית,,124.88,0.0,0.0,4,4,190.8,4,5.72,60.19,3.0,29.84,2024-02-09
11,200005,אל עבודי מוסך,35580173LPR,דיסקיות,80.0,0.0,רשות פלסטינית,,246.25,0.0,0.0,5,5,400.0,5,12.0,141.75,3.0,51.69,2024-02-09
12,200005,אל עבודי מוסך,35580173LPR,דיסקיות,201.0,0.0,רשות פלסטינית,,98.51,0.0,0.0,2,2,201.0,2,6.03,96.46,3.0,51.69,2024-03-18
13,200005,אל עבודי מוסך,35780355LPR,דיסקיות,78.0,0.0,דניאל שירזי,,489.17,0.0,0.0,10,10,780.0,10,23.4,267.43,3.0,46.65,2024-01-15
14,200005,אל עבודי מוסך,35780355LPR,דיסקיות,165.0,0.0,רשות פלסטינית,,466.5,0.0,0.0,10,10,742.5,10,22.27,253.72,3.0,46.65,2024-07-10
15,200005,אל עבודי מוסך,35821223LPR,דיסקיות,127.0,0.0,רשות פלסטינית,,227.0,0.0,0.0,6,6,381.0,6,11.43,142.57,3.0,30.47,2024-03-18
16,200005,אל עבודי מוסך,41391425LONGKOU,צלחות,99.0,0.0,רשות פלסטינית,,162.96,0.0,0.0,6,6,267.3,6,8.01,96.32,3.0,27.16,2024-07-10
17,200005,אל עבודי מוסך,41490802LPR,צלחות,255.0,0.0,רשות פלסטינית,,800.94,0.0,0.0,10,10,1147.5,10,34.42,312.13,3.0,80.09,2024-03-21
18,200005,אל עבודי מוסך,41581110LPR,צלחות,230.0,0.0,דניאל שירזי,,101.72,0.0,0.0,2,2,230.0,2,6.9,121.38,3.0,50.86,2024-01-15
19,200005,אל עבודי מוסך,41641315LPR,צלחות,357.0,0.0,דניאל שירזי,,225.02,0.0,0.0,2,2,321.3,2,9.63,86.64,3.0,112.51,2024-01-15
20,200005,אל עבודי מוסך,41780303LONGKOU,צלחות,184.0,0.0,דניאל שירזי,,195.6,0.0,0.0,4,4,353.28,4,10.59,147.08,3.0,51.07,2024-01-15
21,200005,אל עבודי מוסך,41780303LONGKOU,צלחות,186.0,0.0,רשות פלסטינית,,1021.4,0.0,0.0,20,20,1674.0,20,50.22,602.38,3.0,51.07,2024-07-10
22,200005,אל עבודי מוסך,41780309LONGKOU,צלחות,127.0,0.0,דניאל שירזי,,130.39,0.0,0.0,4,4,243.84,4,7.31,106.13,3.0,32.6,2024-01-15
23,200005,אל עבודי מוסך,46780365GSP,ציריות,540.0,0.0,רשות פלסטינית,,156.59,0.0,0.0,1,1,270.0,1,8.1,105.31,3.0,134.81,2024-03-18
24,200005,אל עבודי מוסך,47780553GSP,פעמונים,248.0,0.0,רשות פלסטינית,,372.05,0.0,0.0,5,5,620.0,5,18.6,229.35,3.0,56.37,2024-03-18
25,200005,אל עבודי מוסך,47781503GSP,פעמונים,224.0,0.0,רשות פלסטינית,,673.4,0.0,0.0,10,10,1120.0,10,33.6,413.0,3.0,51.01,2024-03-18
26,200005,אל עבודי מוסך,48610102GSP,נאבות,256.0,0.0,רשות פלסטינית,,184.74,0.0,0.0,3,3,384.0,3,11.52,187.74,3.0,61.58,2024-03-18
27,200005,אל עבודי מוסך,48780369GSP,נאבות,279.0,0.0,רשות פלסטינית,,362.4,0.0,0.0,4,4,558.0,4,16.74,178.86,3.0,90.6,2024-07-10
28,200005,אל עבודי מוסך,48781602GSP,נאבות,630.0,0.0,רשות פלסטינית,,261.5,0.0,0.0,2,2,630.0,2,18.9,349.6,3.0,130.75,2024-07-10
29,200005,אל עבודי מוסך,50021078BIRTH,תושבות מנוע,307.0,0.0,דניאל שירזי,,153.0,0.0,0.0,1,1,153.5,1,4.6,-4.1,3.0,153.0,2024-01-15
30,200005,אל עבודי מוסך,50551927GSP,תושבות מנוע,620.0,0.0,דניאל שירזי,,148.38,0.0,0.0,1,1,310.0,1,9.3,152.32,3.0,148.38,2024-01-15
31,200005,אל עבודי מוסך,56492308EXEDY,מצמדים,1195.0,0.0,רשות פלסטינית,,1157.0,0.0,0.0,2,2,2390.0,2,71.7,1161.3,3.0,578.5,2024-07-10
32,200005,אל עבודי מוסך,59780302GSP,בולמים,287.0,0.0,רשות פלסטינית,,402.24,0.0,0.0,4,4,574.0,4,17.22,154.54,3.0,100.56,2024-07-10
33,200005,אל עבודי מוסך,59780302GSP,בולמים,287.0,0.0,רשות פלסטינית,,603.36,0.0,0.0,6,6,774.9,6,23.24,148.29,3.0,100.56,2024-02-09
34,200005,אל עבודי מוסך,59780303GSP,בולמים,131.0,0.0,רשות פלסטינית,,69.54,0.0,0.0,2,2,117.9,2,3.53,44.82,3.0,34.77,2024-02-09
35,200005,אל עבודי מוסך,61490825YAS,הגה כוח,580.0,0.0,רשות פלסטינית,,1001.04,0.0,0.0,4,4,2320.0,4,69.6,1249.36,3.0,250.26,2024-04-03
36,200005,אל עבודי מוסך,63580100DOLZ,משאבות מים,249.0,0.0,רשות פלסטינית,,198.06,0.0,0.0,3,3,373.5,3,11.2,164.23,3.0,66.02,2024-07-10
37,200005,אל עבודי מוסך,63580271DOLZ,משאבות מים,150.0,0.0,רשות פלסטינית,,-84.16,0.0,0.0,-2,-2,-150.0,-2,-4.5,-61.34,3.0,46.73,2024-03-26
38,200005,אל עבודי מוסך,71390904ER,משולשים,428.0,0.0,דניאל שירזי,,135.11,0.0,0.0,1,1,214.0,1,6.42,72.47,3.0,135.11,2024-01-15
39,200005,אל עבודי מוסך,71390905ER,משולשים,428.0,0.0,דניאל שירזי,,130.86,0.0,0.0,1,1,214.0,1,6.42,76.72,3.0,130.86,2024-01-15
40,200005,אל עבודי מוסך,71490800ER,משולשים,130.0,0.0,רשות פלסטינית,,207.4,0.0,0.0,2,2,260.0,2,7.8,44.8,3.0,103.7,2024-07-10
41,200005,אל עבודי מוסך,71490800ER,משולשים,130.0,0.0,רשות פלסטינית,,311.1,0.0,0.0,3,3,390.0,3,11.7,67.2,3.0,103.7,2024-03-18
42,200005,אל עבודי מוסך,71490801ER,משולשים,130.0,0.0,רשות פלסטינית,,258.48,0.0,0.0,3,3,390.0,3,11.7,119.82,3.0,86.16,2024-03-18
43,200005,אל עבודי מוסך,71641302ER,משולשים,159.0,0.0,רשות פלסטינית,,-163.11,0.0,0.0,-2,-2,-318.0,-2,-9.54,-145.35,3.0,81.55,2024-01-16
44,200005,אל עבודי מוסך,71641303ER,משולשים,159.0,0.0,רשות פלסטינית,,-244.0,0.0,0.0,-2,-2,-318.0,-2,-9.54,-64.46,3.0,122.0,2024-01-16
