,מק'ט,תאור מוצר,תאור משפחה,מוצר משלים,מחיר קניה אחרון,כמות,כמות ביחידות מפעל,ערך שח,ערך תקן שח,ת. תפוגת תוקף
0,0000000,00000000,ציריות,,0.0,-1,-1,-123.7,-123.7,
1,000000000,000000000,צלחות,,0.0,2,2,99.66,124.0,
2,001020,"מגב ""20",משפחת מוצר כללית,,0.0,-681,-681,0.0,0.0,
3,001021,"מגב ""21",משפחת מוצר כללית,,0.0,-1511,-1511,0.0,0.0,
4,001022,"מגב ""22",משפחת מוצר כללית,,0.0,-150,-150,0.0,0.0,
5,001026,"מגב ""26",משפחת מוצר כללית,,0.0,-1,-1,0.0,0.0,
6,001027,"מגב ""27",משפחת מוצר כללית,,0.0,-200,-200,0.0,0.0,
7,001028,"מגב ""28",משפחת מוצר כללית,,0.0,-880,-880,0.0,0.0,
8,001122,הובלה יבשתית,משפחת מוצר כללית,,0.0,-1,-1,0.0,0.0,
9,01,0,צלחות,,9.5,258,258,8877.78,11016.6,
10,0123,עלות סחורה,משפחת מוצר כללית,,0.0,-1,-1,0.0,0.0,
11,01234,עמילות,משפחת מוצר כללית,,0.0,-1,-1,0.0,0.0,
12,0242135533,מצת איוניק 16-22 היברידי/אלנטרה/קונה/נירו היברידיות,מצתים,,0.0,-8,-8,-152.0,-152.0,
13,05424,תרסיס/ספריי מנקה ריפודים ושטיחים MOTHERS 710ML,ניקיון ותחזוקת פנים,,0.0,-12,-12,-299.16,-299.16,
14,05P1870,ד.ב קד מזרטי גראן טוריסמו,דיסקיות,,0.0,-3,-3,-255.0,-255.0,
15,05P538,ד.ב קד היילוקס 4X4 + היילוקס 4/98-05 4X2 ראנר,דיסקיות,,0.0,2,2,50.0,50.0,
16,05P789,ד.ב קד ברלינגו עד 07 / פרטנר עד 07,דיסקיות,,0.0,1,1,53.0,53.0,
17,0608614331291,אנטי ראסט ירוק 4 ליטר,נוזל קירור ואנטי פריז,,5.2,-806,-806,-3868.8,-3868.8,
18,0608614331307,אנטי ראסט אדום 4 ליטר,נוזל קירור ואנטי פריז,,5.2,-262,-262,-1257.6,-1257.6,
19,0608614331314,נוזל קירור ירוק 4 ליטר,נוזל קירור ואנטי פריז,,7.5,-1140,-1140,-6042.0,-6042.0,
20,0608614331321,נוזל קירור אדום 4 ליטר,נוזל קירור ואנטי פריז,,7.5,-2751,-2751,-14580.3,-14580.3,
21,0608614331338,נוזל שמשות 4 ליטר,נוזל קירור ואנטי פריז,,6.5,-241,-241,-1132.7,-1132.7,
